  88   87 2BKZC 2BKZA    0.931
 341  340 5CYIC 5CYIA    1.535
 136  130 2R3QA 2R3FA    1.838
 334  333 4I3ZC 4I3ZA    1.990
 360  359 6GUBC 6GUBA    2.098
 379  380 6RIJA 6RIJC    2.283
 133   -3 2R3IA node3    2.650
 301  299 4EK5A 4EK3A    2.840
 219   17 3QQLA 1H01A    2.869
 319  305 4EOQC 4EOJC    2.996
 318  310 4EOQA 4EOMA    3.090
 350  327 5OO0A 4FKLA    3.150
 300  248 4EK4A 3R83A    3.225
 212  211 3QHWC 3QHWA    3.464
 279  271 4BCNA 3TNWA    3.495
 353  250 5OSMA 3R8PA    3.502
 290  289 4CFNC 4CFNA    3.531
 338  -13 4RJ3A node13    3.545
 314  -10 4EOOA node10    3.643
  -7   16 node7 1GZ8A    3.646
 284  282 4BCPC 4BCOC    3.661
 294  292 4CFVC 4CFUC    3.674
 281   44 4BCOA 1OI9A    3.678
 352  -12 5OSJA node12    3.779
 243  371 3R71A 6Q3CA    3.843
 137  131 2R3RA 2R3GA    3.844
 349  348 5NEVC 5NEVA    3.849
  74   73 1QMZC 1QMZA    3.871
 182  178 3BHVC 3BHTC    4.013
 -24   -8 node24 node8    4.054
 127  -23 2IW9A node23    4.057
 179  177 3BHUA 3BHTA    4.066
 -16  -18 node16 node18    4.116
 288  287 4CFMC 4CFMA    4.130
 344  -20 5JQ5A node20    4.149
  -2   48 node2 1OIUC    4.187
 358  302 6ATHA 4EOIA    4.191
 336  335 4II5C 4II5A    4.226
 272  199 3TNWC 3MY5A    4.262
 135  -26 2R3PA node26    4.270
 337  -25 4KD1A node25    4.389
 -33   -9 node33 node9    4.426
  -6  111 node6 2CCHA    4.480
  47  -31 1OIUA node31    4.560
 293  291 4CFVA 4CFUA    4.579
 296  295 4CFWC 4CFWA    4.591
 -22  200 node22 3MY5C    4.672
 171  161 2WXVA 2WIHA    4.711
 147  145 2UZLC 2UZEC    4.718
 347  -42 5MHQA node42    4.767
 321   24 4EORC 1H1SA    4.770
 283  280 4BCPA 4BCNC    4.877
 247  -41 3R7YA node41    4.938
 128  -36 2IW9C node36    4.957
 210  209 3QHRC 3QHRA    4.976
 -30  -35 node30 node35    5.021
 309  -19 4EOLC node19    5.095
 363  361 6GUEA 6GUCA    5.150
 317  186 4EOPC 3DDQC    5.177
 196  378 3LE6A 6Q4KA    5.234
 -15  -39 node15 node39    5.399
 351  383 5OO3A 6YL6A    5.412
 -49  144 node49 2UZEA    5.422
 367  362 6GVAA 6GUCC    5.429
 315  311 4EOOC 4EOMC    5.443
 -37   59 node37 1P5EA    5.532
  96   95 2C5OC 2C5OA    5.557
 377  102 6Q4FA 2C68A    5.716
 197   46 3LFQA 1OIRA    5.771
 -46  -51 node46 node51    5.783
 308  303 4EOLA 4EOIC    5.846
 -69  -50 node69 node50    5.888
 364   60 6GUEC 1P5EC    5.901
 -61  112 node61 2CCHC    5.934
  90   78 2BPMC 1VYWC    5.969
 125  -44 2IW8A node44    5.977
 -17  -54 node17 node54    5.983
 -21  -52 node21 node52    6.076
 -40  107 node40 2C6MA    6.092
 -57  -59 node57 node59    6.197
 339   41 5ANEA 1JSVA    6.207
 320  322 4EORA 4EOSA    6.219
 -68  -56 node68 node56    6.288
 275  -66 4BCKA node66    6.292
 118   65 2DS1A 1PXIA    6.369
 -63   30 node63 1H26A    6.431
  63   62 1PKDC 1PKDA    6.445
 201  372 3NS9A 6Q3FA    6.542
 149   81 2V0DA 1Y8YA    6.551
  -4  -14 node4 node14    6.564
 -78  -43 node78 node43    6.595
 -47  -74 node47 node74    6.610
  43   42 1OGUC 1OGUA    6.687
 169  163 2WPAA 2WIPA    6.754
 185  -11 3DDQA node11    6.781
 -92  -70 node92 node70    6.854
 277  365 4BCMA 6GUFA    6.873
 -60  -72 node60 node72    6.882
 346  181 5LMKA 3BHVA    6.930
 307  142 4EOKC 2UZDA    6.937
 -81  -83 node81 node83    6.978
 -80  -77 node80 node77    7.148
 -73  -84 node73 node84    7.181
 146  -86 2UZLA node86    7.223
 172  164 2WXVC 2WIPC    7.255
 276  286 4BCKC 4BCQC    7.263
  22   19 1H1RA 1H1PC    7.338
  79    3 1W8CA 1E1VA    7.352
 330   91 4FX3A 2C4GA    7.450
 -85   37 node85 1HCLA    7.593
 168    6 2WMBC 1E9HC    7.608
 110   32 2C6TC 1H27A    7.610
 -53  -98 node53 node98    7.629
 -34   25 node34 1H1SC    7.669
 -71  312 node71 4EONA    7.682
 -65  126 node65 2IW8C    7.698
-102  -96 node102 node96    7.726
 184  183 3DDPC 3DDPA    7.777
 -76    5 node76 1E9HA    7.783
 -64  -97 node64 node97    7.785
 167   49 2WMBA 1OIYA    7.795
-107   18 node107 1H1PA    7.799
 370   77 6P3WC 1VYWA    7.948
-100  109 node100 2C6TA    7.987
 369  -48 6P3WA node48    7.998
 304 -115 4EOJA node115    8.103
 -79 -101 node79 node101    8.108
 134 -113 2R3OA node113    8.111
 373  374 6Q4AA 6Q4BA    8.173
  98   97 2C5VC 2C5VA    8.275
 198   64 3LFSA 1PW2A    8.397
 103  -89 2C69A node89    8.441
 -91  323 node91 4EOSC    8.441
 190  122 3EJ1C 2I40C    8.467
 285  381 4BCQA 6SG4A    8.542
-104   26 node104 1H24A    8.572
 114  278 2CCIC 4BCMC    8.580
 113   31 2CCIA 1H26C    8.623
 123  120 2IW6A 2G9XA    8.637
  89    9 2BPMA 1FINA    8.657
 -55 -119 node55 node119    8.686
 356  354 5UQ2A 5UQ1A    8.767
 121  -93 2G9XC node93    8.810
 192  191 3EOCC 3EOCA    8.849
 -88  375 node88 6Q4CA    8.885
 165 -121 2WMAA node121    8.979
 306 -126 4EOKA node126    9.029
 -90   -5 node90 node5    9.076
 188  345 3DOGC 5L2WA    9.142
 162  -75 2WIHC node75    9.162
 -94 -123 node94 node123    9.237
 -32  -45 node32 node45    9.247
-118 -124 node118 node124    9.252
 180  -82 3BHUC node82    9.329
-114 -141 node114 node141    9.362
-120 -117 node120 node117    9.368
 143   80 2UZDC 1W98A    9.415
-128 -127 node128 node127    9.563
 239  255 3R1SA 3RAIA    9.595
  66 -110 1PXJA node110    9.674
 206  202 3PXZA 3PXFA    9.756
  50 -137 1OIYC node137    9.778
-133 -156 node133 node156    9.915
 138   93 2UUEA 2C5NA    9.975
 152 -132 2VTLA node132   10.077
 -28 -122 node28 node122   10.097
 166  124 2WMAC 2IW6C   10.110
 -62    4 node62 1E1XA   10.128
 105  104 2C6KA 2C6IA   10.177
 244  242 3R73A 3R6XA   10.300
-136 -163 node136 node163   10.339
 237  236 3QZIA 3QZHA   10.343
 -58 -103 node58 node103   10.411
-146   28 node146 1H25A   10.427
 155   57 2WEVA 1OL2A   10.520
 342 -125 5IF1A node125   10.549
-153 -143 node153 node143   10.580
 154 -108 2VTRA node108   10.660
 -38 -139 node38 node139   10.665
 173  159 2X1NA 2WHBA   10.733
-112 -171 node112 node171   10.763
-165 -178 node165 node178   10.795
-158    0 node158 1B38A   10.822
  21   20 1H1QC 1H1QA   10.953
-176 -109 node176 node109   10.995
-135   40 node135 1JSUA   11.042
-106   15 node106 1GY3C   11.076
-174 -155 node174 node155   11.119
  45 -138 1OI9C node138   11.166
 231  228 3QX4A 3QWJA   11.169
 116  115 2CJMC 2CJMA   11.394
-182 -183 node182 node183   11.509
  92   -1 2C4GC node1   11.560
 -29  -95 node29 node95   11.582
-167 -111 node167 node111   11.614
  58   52 1OL2C 1OKVC   11.746
-154 -147 node154 node147   11.779
 194  193 3F5XC 3F5XA   11.790
-145 -129 node145 node129   11.835
-179 -188 node179 node188   11.845
  23 -166 1H1RC node166   11.856
-148   33 node148 1H27C   11.991
-175   51 node175 1OKVA   12.063
 195  368 3IGGA 6OQIA   12.300
-172  238 node172 3R1QA   12.402
-116 -189 node116 node189   12.414
 160  139 2WHBC 2UUEC   12.568
-131 -160 node131 node160   12.752
  94   54 2C5NC 1OKWC   12.821
-157 -181 node157 node181   12.839
 129 -177 2JGZA node177   12.860
-180  150 node180 2V22A   12.969
  34   14 1H28A 1GY3A   12.972
-134   12 node134 1FVVA   13.215
-206 -195 node206 node195   13.313
-210 -200 node210 node200   13.319
-186   38 node186 1JSTA   13.341
-105 -150 node105 node150   13.498
-144  189 node144 3EJ1A   13.534
-199 -168 node199 node168   13.540
 240   82 3R1YA 1YKRA   13.672
 262  214 3RM7A 3QQFA   13.682
-191 -202 node191 node202   13.848
 331 -151 4FX3C node151   13.883
-185 -140 node185 node140   14.009
 -67   53 node67 1OKWA   14.168
-211 -162 node211 node162   14.292
-220 -192 node220 node192   14.425
 132  108 2R3HA 2C6OA   14.734
-219 -214 node219 node214   14.845
 106 -169 2C6LA node169   14.847
-205  264 node205 3ROYA   15.111
-193 -218 node193 node218   15.111
 153 -228 2VTMA node228   15.350
-201 -215 node201 node215   15.504
  55 -203 1OL1A node203   15.706
 117 -221 2CLXA node221   15.773
 187 -227 3DOGA node227   15.862
 -99 -197 node99 node197   15.866
-226 -196 node226 node196   15.896
 100   76 2C5XC 1URCC   15.948
-173 -217 node173 node217   16.029
 251  235 3R8UA 3QZGA   16.088
-149 -223 node149 node223   16.093
-237  175 node237 2XMYA   16.310
-187 -213 node187 node213   16.689
  29 -216 1H25C node216   16.780
  83 -208 2A0CX node208   17.326
 158 -230 2WFYC node230   17.329
-212 -207 node212 node207   17.532
 215  274 3QQGA 3UNKA   17.751
-238 -184 node238 node184   18.017
 151 -240 2V22C node240   18.279
-235 -247 node235 node247   18.317
 119 -248 2EXMA node248   18.862
-209  156 node209 2WEVC   18.876
-231   36 node231 1HCKA   19.065
-246 -254 node246 node254   19.540
-204    1 node204 1B39A   19.651
  99 -164 2C5XA node164   19.972
  39 -242 1JSTC node242   20.139
 298   27 4CFXC 1H24C   20.398
 101 -234 2C5YA node234   20.403
-252 -258 node252 node258   20.473
-229 -259 node229 node259   20.514
-224 -225 node224 node225   20.545
  35 -264 1H28C node264   21.517
-243  245 node243 3R7EA   22.793
-262 -267 node262 node267   22.802
-159  265 node159 3RPOA   23.009
-241 -256 node241 node256   23.150
 252  267 3R8VA 3S00A   23.170
 382 -244 6SG4C node244   23.185
 343 -253 5IF1C node253   23.406
-265 -263 node265 node263   23.539
-233  170 node233 2WPAC   23.626
-130 -236 node130 node236   23.808
 222  225 3QTQA 3QTXA   24.016
-260 -250 node260 node250   24.021
 313  366 4EONC 6GUFC   24.027
 241 -232 3R28A node232   24.527
-245  204 node245 3PXRA   25.091
  71   68 1PXOA 1PXLA   25.139
-249  157 node249 2WFYA   25.144
  72   69 1PXPA 1PXMA   25.592
-239 -152 node239 node152   25.847
-268  270 node268 3TIZA   25.969
 148 -257 2UZOA node257   26.072
 229  256 3QWKA 3RJCA   26.157
 205  234 3PXYA 3QZFA   26.431
   8    7 1F5QC 1F5QA   27.428
-276 -284 node276 node284   27.560
 258  254 3RK7A 3R9HA   27.915
-287 -222 node287 node222   28.655
 220  226 3QRTA 3QTZA   28.975
 357 -142 5UQ3A node142   29.140
  85    2 2B53A 1BUHA   29.632
 216  230 3QQHA 3QX2A   29.765
-288 -275 node288 node275   29.838
 223 -289 3QTUA node289   30.558
-194 -286 node194 node286   30.585
 246 -251 3R7VA node251   31.518
-266 -198 node266 node198   31.806
 297 -269 4CFXA node269   31.912
 259  266 3RK9A 3RPVA   32.321
-261  316 node261 4EOPA   32.709
-285 -283 node285 node283   32.857
-270 -170 node270 node170   33.739
 141  140 2UZBC 2UZBA   33.938
-255 -272 node255 node272   34.108
-274 -271 node274 node271   35.154
